,,,,,BC Ministry of Transportation and Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Annual Hourly Day of Week Summary for  ,,,,,,,,,, 2019,,,,,,,,
,Site names:,,Lions Gate P-15-1NS - NY,,,,,,,,,,,Seasonal Factor Grp:,,,,Consistent,,,,,,,,,,,
,,,,,,,,,,,,,,Daily Factor Grp:,,,,Consistent,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Location:,,"Route 99, at the south end of the First Narrows Bridge, Vancouver",,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUN,,,,,MON,,,TUE,,,,,WED,,,,THU,,,FRI,,,,SAT,,,
,,Road,,PDir,,NDir,Road,PDir,NDir,Road,,PDir,NDir,,Road,PDir,NDir,,Road,PDir,NDir,Road,PDir,NDir,,Road,PDir,NDir,
00:00,,"1,139",,679,,459,575,329,245,457,,273,184,,474,284,189,,502,307,195,607,372,235,,"1,018",618,400,
01:00,,755,,441,,314,298,173,125,246,,153,93,,248,151,97,,254,157,97,323,196,127,,679,401,278,
02:00,,505,,284,,220,168,98,70,147,,87,60,,142,84,57,,146,85,60,191,114,77,,464,263,201,
03:00,,376,,208,,167,145,73,72,124,,62,61,,126,61,65,,126,63,62,152,78,74,,334,184,150,
04:00,,267,,128,,138,218,94,123,207,,88,118,,204,87,116,,202,87,114,212,95,116,,253,125,127,
05:00,,342,,168,,173,674,299,375,720,,314,406,,731,327,404,,707,316,390,700,328,371,,404,219,184,
06:00,,723,,384,,339,"1,824",715,"1,108","2,048",,783,"1,265",,"2,052",793,"1,259",,"2,039",801,"1,237","1,891",784,"1,106",,879,494,384,
07:00,,"1,202",,693,,509,"3,817","1,268","2,548","4,272",,"1,366","2,906",,"4,361","1,401","2,960",,"4,343","1,395","2,948","3,987","1,356","2,630",,"1,564",878,686,
08:00,,"1,759",,980,,779,"4,403","1,408","2,994","4,786",,"1,486","3,299",,"4,895","1,519","3,376",,"4,914","1,526","3,387","4,675","1,488","3,186",,"2,428","1,294","1,133",
09:00,,"2,542",,"1,294",,"1,248","3,829","1,460","2,368","4,217",,"1,506","2,710",,"4,245","1,529","2,716",,"4,280","1,536","2,744","4,009","1,571","2,437",,"3,140","1,562","1,577",
10:00,,"3,132",,"1,548",,"1,584","3,422","1,546","1,875","3,557",,"1,580","1,976",,"3,613","1,601","2,012",,"3,638","1,606","2,032","3,708","1,684","2,023",,"3,537","1,819","1,718",
11:00,,"3,531",,"1,776",,"1,754","3,410","1,651","1,758","3,488",,"1,659","1,828",,"3,551","1,693","1,858",,"3,609","1,720","1,888","3,723","1,829","1,894",,"3,780","1,937","1,843",
12:00,,"3,745",,"1,867",,"1,878","3,523","1,764","1,759","3,526",,"1,772","1,753",,"3,538","1,776","1,761",,"3,633","1,842","1,791","3,821","1,997","1,823",,"3,948","2,064","1,883",
13:00,,"3,814",,"1,960",,"1,853","3,450","1,784","1,665","3,541",,"1,891","1,649",,"3,611","1,912","1,699",,"3,664","1,939","1,725","3,885","2,135","1,749",,"3,920","2,084","1,836",
14:00,,"3,809",,"1,956",,"1,852","3,686","1,981","1,705","3,773",,"2,054","1,718",,"3,820","2,061","1,758",,"3,905","2,153","1,751","4,040","2,246","1,793",,"3,872","2,053","1,818",
15:00,,"3,716",,"1,923",,"1,793","3,854","2,181","1,672","3,966",,"2,276","1,689",,"4,019","2,337","1,681",,"4,095","2,433","1,662","4,190","2,531","1,658",,"3,935","2,100","1,834",
16:00,,"3,613",,"1,847",,"1,765","4,135","2,480","1,655","4,257",,"2,687","1,570",,"4,313","2,675","1,638",,"4,300","2,657","1,643","4,340","2,734","1,605",,"3,838","1,998","1,840",
17:00,,"3,532",,"1,782",,"1,750","4,268","2,682","1,586","4,430",,"2,884","1,545",,"4,554","2,994","1,560",,"4,500","2,950","1,550","4,426","2,871","1,555",,"3,747","1,901","1,846",
18:00,,"3,219",,"1,404",,"1,814","3,734","2,216","1,517","3,945",,"2,378","1,566",,"3,987","2,410","1,577",,"4,092","2,441","1,651","4,038","2,373","1,665",,"3,466","1,605","1,860",
19:00,,"2,798",,"1,212",,"1,586","2,718","1,419","1,299","2,963",,"1,627","1,335",,"2,937","1,644","1,293",,"3,206","1,778","1,427","3,251","1,745","1,505",,"3,009","1,339","1,669",
20:00,,"2,475",,"1,082",,"1,392","2,226","1,141","1,085","2,379",,"1,293","1,086",,"2,451","1,333","1,118",,"2,607","1,420","1,186","2,563","1,334","1,229",,"2,391","1,135","1,255",
21:00,,"2,161",,"1,050",,"1,111","1,996","1,083",913,"2,200",,"1,255",944,,"2,291","1,316",975,,"2,478","1,394","1,083","2,393","1,291","1,101",,"2,286","1,193","1,092",
22:00,,"1,648",,862,,785,"1,461",821,640,"1,669",,"1,001",668,,"1,734","1,042",692,,"1,958","1,204",754,"2,148","1,239",909,,"2,180","1,247",932,
23:00,,"1,036",,570,,465,869,488,380,951,,553,397,,"1,008",604,403,,"1,165",707,458,"1,562",930,632,,"1,680","1,014",665,
AADW,,"51,851",,"26,110",,"25,741","58,711","29,162","29,548","61,878",,"31,039","30,838",,"62,916","31,643","31,273",,"64,373","32,527","31,846","64,847","33,334","31,512",,"56,762","29,538","27,223",
N Days,,50,,50,,50,52,52,52,53,,53,53,,52,52,52,,52,52,52,52,52,52,,52,52,52,
Created Tue Jul 07 19:40:04 PDT 2020,,,,,,,,,,,,,,,,,,,,,,,,,AV03P: Page 1 of,,,, 1
