Site Names:,,Second Narrows P-15-2EW - NY,,,,,,,,,Seasonal Factor Group:,,,Consistent,,,,,,,,
County:,,N/A,,,,,,,,,Daily Factor Group:,,,Consistent,,,,,,,,
Funct. Class:,,,,,,,,,,Axle Factor Group:,,,,,,,,,,,,
Location:,,"Route 1, at the east end of the Second Narrows Bridge, Vancouver",,,,,,,,,Growth Factor Group:,,,Consistent,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,,Road,Neg Dir,Pos Dir,Road,Neg Dir,Pos Dir,Road,Neg Dir,Pos Dir,Road,Neg Dir,Pos Dir,Road,Neg Dir,Pos Dir,Road,Neg Dir,Pos Dir,Road,Neg Dir,Pos Dir
0:00,,1540,837,704,837,444,393,751,392,359,811,422,389,844,443,401,946,505,441,1401,771,629
1:00,,883,487,396,400,207,193,359,181,178,398,206,192,415,211,204,482,254,228,822,448,374
2:00,,557,310,248,257,139,118,237,120,117,266,136,130,278,143,134,324,168,155,535,295,240
3:00,,417,227,190,287,154,133,274,146,128,282,150,132,305,161,144,327,175,153,424,232,192
4:00,,429,254,175,712,441,271,747,461,286,757,473,284,756,473,283,762,481,281,543,324,219
5:00,,804,492,313,2644,1702,942,3025,1943,1082,2982,1933,1049,2973,1929,1045,2827,1850,977,1201,775,426
6:00,,1695,1055,641,6177,3499,2678,7239,4042,3197,7280,4085,3196,7218,4087,3131,6780,3959,2821,2382,1482,900
7:00,,2566,1539,1027,8498,4177,4321,9719,4702,5017,9813,4775,5038,9809,4798,5010,9367,4640,4727,3903,2343,1560
8:00,,3650,2090,1559,8181,3998,4183,9188,4343,4845,9360,4488,4872,9326,4481,4845,8801,4344,4457,5645,3277,2367
9:00,,5291,2749,2542,7505,3873,3631,8087,4085,4002,8296,4215,4080,8320,4187,4134,7978,4074,3905,7062,3767,3296
10:00,,6728,3434,3294,6972,3600,3373,7284,3708,3577,7467,3762,3706,7570,3796,3774,7710,3907,3803,7574,3818,3757
11:00,,7396,3720,3676,7187,3590,3597,7091,3505,3586,7382,3604,3778,7600,3699,3901,7934,3937,3997,7984,3979,4005
12:00,,8015,3970,4045,7359,3617,3742,7313,3595,3718,7433,3646,3787,7662,3712,3949,7997,3917,4080,8220,4069,4151
13:00,,8205,4111,4094,7550,3685,3866,7458,3649,3809,7649,3736,3913,7763,3823,3940,8308,4138,4169,8298,4146,4152
14:00,,8355,4101,4254,8436,3978,4458,8438,3977,4461,8659,4110,4549,8673,4199,4475,8990,4408,4582,8330,4051,4279
15:00,,8333,3996,4336,9022,4283,4739,9319,4507,4812,9310,4532,4778,9370,4617,4754,9461,4673,4789,8393,4115,4277
16:00,,8032,3730,4302,9378,4668,4710,9915,5058,4857,9836,5056,4780,9999,5082,4917,9708,4885,4823,8347,4003,4344
17:00,,7394,3283,4112,9038,4606,4432,9745,5057,4688,9593,4949,4645,9824,5065,4759,9421,4836,4585,7915,3579,4335
18:00,,6047,2574,3473,6732,3257,3475,7474,3731,3743,7693,3716,3976,8011,3936,4074,7916,3892,4025,6732,2904,3828
19:00,,4977,2105,2872,5014,2310,2704,5147,2452,2695,5399,2554,2845,5726,2722,3004,5844,2824,3021,5066,2190,2876
20:00,,4320,1956,2364,3963,1942,2021,4098,2052,2047,4241,2124,2117,4466,2258,2209,4285,2119,2166,3924,1848,2075
21:00,,3685,1666,2019,3418,1694,1724,3707,1878,1829,3763,1932,1831,3975,2009,1966,3943,1870,2073,3790,1777,2014
22:00,,2514,1239,1275,2365,1149,1216,2547,1311,1236,2679,1353,1326,2869,1470,1398,3283,1619,1664,3331,1649,1682
23:00,,1540,727,813,1392,650,742,1463,698,765,1569,754,816,1659,805,854,2261,1119,1142,2425,1191,1234
AADW,,103374,50651,52723,123324,61662,61663,130625,65592,65033,132919,66710,66209,135409,68104,67305,135655,68592,67063,114245,57033,57212
NDAYS,,48,48,48,48,48,48,48,48,48,48,48,48,47,47,47,47,47,47,48,48,48
X,,,,,,,,,,,,,,,,,,,,,,
